band,f_low,f_high,ign_entropy_mean,ign_mincut_mean,base_entropy,base_mincut
delta,1.0,4.0,2.509357666625119,1.7739007555151307,2.4389454326444198,0.586782058655182
theta,4.0,8.0,2.5247151674147945,1.1015083835977744,2.5003342455937236,0.4363699231819705
alpha,8.0,13.0,2.499291116357922,1.6265282169257609,2.5293045607123306,1.9080004384027127
beta,13.0,30.0,2.5334724169718728,0.6353909940374471,2.514058744995558,0.38305138315120646
gamma,30.0,45.0,2.502583444921255,0.48126788137206156,2.543397707455762,0.544549760215302
